COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM_15;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;REGION2016;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;212;2007;9;40;005;02;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;D;Z;Z;Z;16;2;1;Z;2;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;3.33116975433943;1;M;01;Z;11;11;1;ZZ;1;B;22;2;11;1;5;770291;3;2;0;Z
77288;ZZZZZ;772880101;212;2009;9;25;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;A;Z;Z;Z;ZZ;2;2;Z;Z;1;6;0;0;0;0;2;1;0;0;0;0;0;2;2;1;1;1;0;1.02168454788425;1;M;02;2;11;11;2;ZZ;1;B;21;2;12;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;1985;7;65;027;04;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;ZZ;1;1;Z;Z;2;2;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;3.33116975433943;1;M;04;0;11;11;2;ZZ;1;A;22;4;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;212;2006;9;25;005;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;B;Z;Z;Z;16;2;2;Z;1;2;3;0;0;1;1;1;1;0;0;0;0;0;1;2;1;1;1;1;1.02168454788425;1;M;02;Z;11;11;2;ZZ;2;B;21;3;11;1;5;770291;3;2;0;Z
77288;ZZZZZ;772880101;211;1986;7;40;026;04;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;B;Z;Z;Z;16;2;1;Z;1;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;3.33116975433943;1;M;03;Z;11;11;2;ZZ;1;A;22;3;11;1;4;770291;3;2;2;Z
77288;ZZZZZ;772880101;211;2004;9;65;010;03;1;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;3.06676214624127;1;M;03;9;11;11;2;ZZ;2;A;22;4;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;211;2010;9;55;005;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;A;Z;Z;Z;ZZ;1;1;Z;Z;2;2;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;4.21709488957678;1;M;02;0;11;11;2;ZZ;1;B;22;2;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2001;9;25;013;03;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;B;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;1;2;2;1;2;1;0;0;1;0;0;3;2;1;0;1;3.06676214624127;1;M;04;0;11;11;2;ZZ;2;B;22;5;25;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2004;9;40;011;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;B;Z;Z;Z;16;2;1;Z;4;2;3;0;0;0;0;2;0;0;0;0;0;0;1;2;1;1;1;0;4.21709488957678;1;M;05;Z;11;11;2;ZZ;1;B;22;5;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2012;9;65;002;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;3.06676214624127;1;M;02;0;11;11;2;ZZ;2;B;22;3;21;Z;Z;770291;3;2;0;Z
