COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP15M;INP17M;INP19M;INP24M;INP3M;INP60M;INP65M;INP5M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC;Texte
77288;ZZZZZ;772880101;B12;2017;9;25;005;02;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;15;Z;Z;Z;ZZ;2;1;Z;Z;2;4;0;1;1;1;2;1;0;0;0;0;0;2;3;0;3;0;1;4.68744435722309;1;M;03;2;11;2;ZZ;2;6;22;3;12;Z;Z;770291;2;2;1;Z;B12
77288;ZZZZZ;772880101;B11;1976;6;80;046;06;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;16;Z;Z;Z;ZZ;2;1;Z;Z;2;4;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4.68744435722309;1;M;04;9;11;2;ZZ;2;4;22;4;21;Z;Z;770291;3;2;0;Z;B11
77288;ZZZZZ;772880101;B11;1977;6;80;045;06;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;11;Z;Z;Z;ZZ;1;2;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4.68744435722309;1;M;04;9;11;2;ZZ;2;4;10;6;21;Z;Z;770291;1;1;0;Z;B11
77288;ZZZZZ;772880101;B11;1989;7;65;033;05;2;Z;Z;H;1;Z;2;Z;Z;3;Z;Z;18;Z;Z;Z;ZZ;1;2;Z;Z;2;1;0;0;0;0;2;0;0;2;2;0;0;0;2;1;1;0;0;4.68744435722309;1;M;05;0;11;2;ZZ;1;1;10;4;21;Z;Z;770291;1;1;1;Z;B11
77288;ZZZZZ;772880101;B11;1992;8;65;027;04;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;01;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;2;0;0;2;2;0;1;0;2;1;1;0;0;4.09147209983106;1;M;03;0;11;2;ZZ;2;1;22;3;21;Z;Z;770291;3;2;0;Z;B11
77288;ZZZZZ;772880101;B11;2018;9;25;001;00;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;12;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;1;1;1;1;1;0;0;0;0;0;1;2;0;2;0;1;4.09147209983106;2;M;03;1;11;2;ZZ;2;6;22;4;12;Z;Z;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B11;2015;9;40;004;01;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;03;Z;Z;Z;16;1;1;Z;2;1;6;0;2;2;2;2;2;1;0;0;2;0;1;4;2;2;1;2;4.09147209983106;1;M;04;Z;11;2;ZZ;1;1;22;4;11;1;5;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B11;2006;9;40;013;03;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;12;Z;Z;Z;16;1;1;Z;3;1;6;1;1;1;2;2;3;0;0;0;0;0;2;5;2;3;1;3;4.09147209983106;1;M;03;Z;11;1;ZZ;1;1;22;4;11;1;5;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B11;2003;9;40;016;03;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;15;Z;Z;Z;15;2;1;Z;1;2;3;0;0;2;2;1;2;0;0;0;0;0;2;3;0;3;2;2;4.09147209983106;1;M;04;Z;11;2;ZZ;2;1;22;5;11;1;6;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B11;2003;9;25;016;03;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;03;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;3;0;0;1;1;0;0;2;3;2;1;0;0;4.09147209983106;1;M;04;2;11;2;ZZ;1;6;22;5;12;Z;Z;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B11;2006;9;65;013;03;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;13;Z;Z;Z;16;1;1;Z;3;2;3;0;0;0;0;3;0;0;2;1;0;0;2;3;2;1;2;0;4.09147209983106;1;M;04;Z;11;2;ZZ;1;1;22;4;11;1;6;770291;3;2;2;Z;B11
77288;ZZZZZ;772880101;B11;2006;9;40;013;03;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;13;Z;Z;Z;16;1;1;Z;3;2;1;0;0;0;0;3;2;0;0;0;0;0;2;3;3;0;2;0;4.09147209983106;2;M;03;Z;11;2;ZZ;1;5;22;2;11;1;5;770291;3;2;2;Z;B11
77288;ZZZZZ;772880101;B11;2015;9;40;004;01;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;03;Z;Z;Z;16;1;1;Z;2;1;6;0;2;2;2;2;2;1;0;0;2;0;1;4;2;2;1;2;4.09147209983106;1;M;04;Z;11;2;ZZ;1;1;22;4;11;1;5;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B11;1965;5;80;054;07;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;13;Z;Z;Z;ZZ;2;1;Z;Z;2;2;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4.09147209983106;1;M;04;9;11;2;ZZ;2;4;22;3;21;Z;Z;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B11;2014;9;80;005;02;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;01;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4.09147209983106;1;M;04;9;11;2;ZZ;2;4;22;3;21;Z;Z;770291;3;2;0;Z;B11
77288;ZZZZZ;772880101;B11;2005;9;40;014;03;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;16;Z;Z;Z;16;2;1;Z;2;2;3;0;1;2;2;1;2;0;0;0;0;0;1;3;1;2;1;2;4.09147209983106;1;M;04;Z;11;2;ZZ;2;5;22;4;11;1;5;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B12;2014;9;25;005;02;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;14;Z;Z;Z;16;2;1;Z;1;2;1;0;1;1;1;1;1;0;0;0;0;0;1;2;1;1;1;1;4.09147209983106;1;M;03;Z;11;2;ZZ;2;6;22;4;11;1;5;770291;3;2;1;Z;B12
77288;ZZZZZ;772880101;B11;1992;8;65;027;04;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;01;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;4.09147209983106;1;M;04;0;11;2;ZZ;1;4;22;3;21;Z;Z;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B11;1989;7;65;030;05;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;15;Z;Z;Z;16;2;1;Z;1;2;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;4.09147209983106;1;M;03;Z;11;2;ZZ;1;5;22;2;11;1;5;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B11;1989;7;40;030;05;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;17;Z;Z;Z;16;2;1;Z;1;2;1;0;0;0;0;2;0;0;0;0;0;0;1;2;1;1;1;0;4.09147209983106;1;M;03;Z;11;2;ZZ;1;6;22;4;11;1;5;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;A12;1971;6;65;048;06;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;15;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;4.09147209983106;1;M;02;0;11;2;ZZ;1;4;22;2;21;Z;Z;770291;3;2;0;Z;A12
77288;ZZZZZ;772880101;B11;1989;7;55;030;05;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;18;Z;Z;Z;12;2;1;Z;1;2;6;0;0;0;0;4;0;0;0;0;0;0;3;4;2;2;2;0;4.09147209983106;1;M;03;Z;11;2;ZZ;1;1;22;4;11;1;5;770291;3;2;2;Z;B11
77288;ZZZZZ;772880101;C100;1996;8;55;023;04;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;11;Z;Z;Z;16;1;1;Z;1;2;1;0;0;0;0;2;0;0;1;0;0;0;1;2;1;1;1;0;4.09147209983106;1;M;05;Z;11;2;ZZ;2;1;22;4;11;2;1;770291;2;1;1;Z;C100
77288;ZZZZZ;772880101;C100;1996;8;55;023;04;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;16;1;2;Z;1;2;1;0;0;0;0;2;0;0;1;0;0;0;1;2;1;1;1;0;4.09147209983106;1;M;03;Z;11;2;ZZ;2;1;10;4;11;1;6;770291;2;1;2;Z;C100
77288;ZZZZZ;772880101;C100;2017;9;25;002;01;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;03;Z;Z;Z;21;2;2;Z;1;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.12022221515043;1;M;04;Z;11;2;ZZ;1;6;21;5;11;1;5;770291;1;1;1;Z;C100
